dept_manager_id,dept_no,emp_no,from_date,to_date
1,d001,110022,1/1/1985,10/1/1991
2,d001,110039,10/1/1991,1/1/9999
3,d002,110085,1/1/1985,12/17/1989
4,d002,110114,12/17/1989,1/1/9999
5,d003,110183,1/1/1985,3/21/1992
6,d003,110228,3/21/1992,1/1/9999
7,d004,110303,1/1/1985,9/9/1988
8,d004,110344,9/9/1988,8/2/1992
9,d004,110386,8/2/1992,8/30/1996
10,d004,110420,8/30/1996,1/1/9999
11,d005,110511,1/1/1985,4/25/1992
12,d005,110567,4/25/1992,1/1/9999
13,d006,110725,1/1/1985,5/6/1989
14,d006,110765,5/6/1989,9/12/1991
15,d006,110800,9/12/1991,6/28/1994
16,d006,110854,6/28/1994,1/1/9999
17,d007,111035,1/1/1985,3/7/1991
18,d007,111133,3/7/1991,1/1/9999
19,d008,111400,1/1/1985,4/8/1991
20,d008,111534,4/8/1991,1/1/9999
21,d009,111692,1/1/1985,10/17/1988
22,d009,111784,10/17/1988,9/8/1992
23,d009,111877,9/8/1992,1/3/1996
24,d009,111939,1/3/1996,1/1/9999
